"Region, development group, country or area",Both 1990,Both 1995,Both 2000,Both 2005,Both 2010,Both 2015,Both 2020,Male 1990,Male 1995,Male 2000,Male 2005,Male 2010,Male 2015,Male 2020,Female 1990,Female 1995,Female 2000,Female 2005,Female 2010,Female 2015,Female 2020
   Dem. People's Republic of Korea,39383,53797,72350,86763,96459,103898,110377,19056,26480,35986,44079,50274,54930,58162,20327,27317,36364,42684,46185,48968,52215
   Japan,604803,653293,708933,718466,756792,764408,808825,299099,319455,340803,340784,352600,351281,362930,305704,333838,368130,377682,404192,413127,445895
   Mongolia,24466,27694,30648,42354,57405,65485,82098,11762,12872,13870,19757,27393,30999,39366,12704,14822,16778,22597,30012,34486,42732
   Republic of Korea,1513162,1694236,1875408,1974513,2252321,2152532,2204554,746733,845928,918713,970088,1098046,1062957,1088491,766429,848308,956695,1004425,1154275,1089575,1116063
  South-Eastern Asia,7725395,9694248,12088166,14537009,18113912,20787865,23580736,3826278,4753131,5881894,7136416,9011911,10329729,11903748,3899117,4941117,6206272,7400593,9102001,10458136,11676988
   Brunei Darussalam,26323,35052,45242,45314,44541,45110,45340,15605,21035,27186,26586,26048,26000,25825,10718,14017,18056,18728,18493,19110,19515
   Cambodia,355428,418213,459621,674436,953059,1074572,1104819,174749,205878,223794,319678,450385,505718,513004,180679,212335,235827,354758,502674,568854,591815
   Indonesia,1622259,1937233,2415077,2781287,3415963,4065095,4601369,948258,1103287,1344276,1544224,1903542,2272231,2560770,674001,833946,1070801,1237063,1512421,1792864,2040599
   Lao People's Democratic Republic,483008,547786,649287,897002,1198862,1288179,1296051,237312,270215,317564,421459,553800,592231,571192,245696,277571,331723,475543,645062,695948,724859
   Malaysia*,560353,861208,1201135,1379305,1599061,1781038,1860037,275352,401165,539648,631301,739362,816165,805157,285001,460043,661487,748004,859699,964873,1054880
   Myanmar,685308,911445,1224310,1736590,2492274,2842494,3711751,376108,494608,656671,960444,1392913,1593428,2323899,309200,416837,567639,776146,1099361,1249066,1387852
   Philippines,2012499,2481963,3062665,3684528,4692695,5498232,6094307,826634,1041934,1307609,1609037,2149714,2533069,2804967,1185865,1440029,1755056,2075491,2542981,2965163,3289340
   Singapore,156444,168100,192930,235683,282421,324639,348464,74549,79794,91193,113294,136184,157614,166831,81895,88306,101737,122389,146237,167025,181633
   Thailand,306924,411878,531028,631678,769257,921690,1086985,121071,155785,197201,230013,282453,348078,423456,185853,256093,333827,401665,486804,573612,663529
   Timor-Leste,11261,79050,148339,94961,35037,37325,39588,5921,39834,74436,50254,19023,20585,21796,5340,39216,73903,44707,16014,16740,17792
   Viet Nam,1505588,1842320,2158532,2376225,2630742,2909491,3392025,770719,939596,1102316,1230126,1358487,1464610,1686851,734869,902724,1056216,1146099,1272255,1444881,1705174
  Southern Asia,25384128,22910124,24435349,26428791,33850093,39053098,43394045,14296925,13063794,14057056,15523113,20886100,24330659,27404198,11087203,9846330,10378293,10905678,12963993,14722439,15989847
   Afghanistan,7679582,4347049,4750677,4116739,5269518,5400916,5853838,4133232,2372554,2610780,2282977,2867554,2902913,3226319,3546350,1974495,2139897,1833762,2401964,2498003,2627519
   Bangladesh,5450443,5423528,5441094,5492474,6319871,6831282,7401763,3162454,3161768,3192999,3263197,4104883,4505672,4971930,2287989,2261760,2248095,2229277,2214988,2325610,2429833
   Bhutan,28461,117967,120183,120319,91934,51391,51998,13921,59851,61414,61514,46979,26218,26295,14540,58116,58769,58805,44955,25173,25703
   India,6619431,7153439,7928051,9588533,13221963,15885657,17869492,3806446,4113683,4624266,5803858,8500709,10356573,11732041,2812985,3039756,3303785,3784675,4721254,5529084,6137451
   Iran (Islamic Republic of),631196,746739,831205,889502,985691,1155617,1325113,362151,419763,456613,493083,530244,617010,708864,269045,326976,374592,396419,455447,538607,616249
   Maldives,2192,1687,1216,2212,3543,3606,3715,1697,1215,698,1126,1712,1685,1745,495,472,518,1086,1831,1921,1970
   Nepal,748053,856028,977396,1289629,1712697,2270166,2599701,389292,453518,524840,676438,873613,1239154,1461696,358761,402510,452556,613191,839084,1031012,1138005
   Pakistan,3341086,3340157,3406434,3777830,4790584,5798210,6328400,1969314,1993435,2060394,2304528,3136466,3743863,4147071,1371772,1346722,1346040,1473302,1654118,2054347,2181329
   Sri Lanka,883684,923530,979093,1151553,1454292,1656253,1960025,458418,488007,525052,636392,823940,937571,1128237,425266,435523,454041,515161,630352,718682,831788
  Western Asia,11078561,12217016,12995065,13901370,16062583,21691299,25281195,5751011,6433589,6997654,7545912,8781728,11946484,13944020,5327550,5783427,5997411,6355458,7280855,9744815,11337175
   Armenia,899678,901859,877148,900648,917043,944520,958190,436813,456359,469987,487642,493848,507143,513437,462865,445500,407161,413006,423195,437377,444753
   Azerbaijan*,1634157,1712214,1630589,1455180,1160863,1130348,1163922,767905,843058,846926,756699,618392,606730,623400,866252,869156,783663,698481,542471,523618,540522
   Bahrain,12817,26014,47736,51835,52235,56721,58270,6118,13253,24582,27091,27727,29822,23771,6699,12761,23154,24744,24508,26899,34499
   Cyprus*,174370,163275,153561,153973,163471,166585,173210,90729,83474,76411,76384,81809,79109,83014,83641,79801,77150,77589,81662,87476,90196
   Georgia*,919438,953280,967022,885523,805539,828931,861077,446500,480830,502617,453879,405507,411330,428794,472938,472450,464405,431644,400032,417601,432283
   Iraq,642933,752604,828414,1340599,2554929,1675613,2077976,343128,411368,469465,746216,1365619,910222,1038010,299805,341236,358949,594383,1189310,765391,1039966
   Israel,279625,290365,303860,317009,333968,331326,358691,138265,144213,151741,160875,171967,169899,185213,141360,146152,152119,156134,162001,161427,173478
   Jordan,313621,339026,368299,440788,602099,706832,814909,187186,205575,226138,277273,385170,449065,516954,126435,133451,142161,163515,216929,257767,297955
   Kuwait,81583,97009,113415,129005,177816,195034,212271,45219,55486,66324,76100,108844,118278,129614,36364,41523,47091,52905,68972,76756,82657
   Lebanon,507722,531538,558891,608856,699704,757183,856814,291678,302457,315472,352390,414002,447670,506899,216044,229081,243419,256466,285702,309513,349915
   Oman,12504,13844,15623,18824,20752,22797,25099,6431,7228,8238,10002,11165,11967,13574,6073,6616,7385,8822,9587,10830,11525
   Qatar,12175,13302,14680,17131,20674,23574,25705,6018,6690,7489,8915,10713,11902,13145,6157,6612,7191,8216,9961,11672,12560
   Saudi Arabia,107045,130911,153614,178744,215338,282906,299268,57684,74204,89831,105465,125982,154312,165183,49361,56707,63783,73279,89356,128594,134085
   State of Palestine*,1812673,2274589,2767331,3258102,3539908,3773988,4022791,888096,1129279,1400058,1666877,1805760,1972565,2112254,924577,1145310,1367273,1591225,1734148,1801423,1910537
   Syrian Arab Republic,620285,661278,707070,813361,1057322,6447843,8457214,354582,379174,407236,484324,647361,3664034,4869975,265703,282104,299834,329037,409961,2783809,3587239
   Turkey,2512944,2771731,2847334,2577305,2708930,3073534,3411408,1349675,1470656,1525093,1374195,1432749,1587410,1766026,1163269,1301075,1322241,1203110,1276181,1486124,1645382
   United Arab Emirates,79499,97928,111082,125618,155609,178324,203214,44671,57415,66226,69562,83884,94400,107455,34828,40513,44856,56056,71725,83924,95759
   Yemen,455492,486249,529396,628869,876383,1095240,1301166,290313,312870,343820,412023,591229,720626,847302,165179,173379,185576,216846,285154,374614,453864
 EUROPE,47730278,48636003,49727784,51336984,54711301,56577753,63273663,22438898,22816174,23247653,24061192,25508453,26369327,29748898,25291380,25819829,26480131,27275792,29202848,30208426,33524765
  Eastern Europe,24779673,24168588,23820659,25554786,27578142,28822615,32194352,11228730,10857238,10575403,11423677,12346406,12864866,14468129,13550943,13311350,13245256,14131109,15231736,15957749,17726223
   Belarus,1767600,1736493,1685646,1581160,1464702,1469882,1483626,815547,780219,735866,683202,622606,623669,630018,952053,956274,949780,897958,842096,846213,853608
   Bulgaria,612960,649430,688682,907821,1106483,1179625,1683074,300350,312957,326504,426799,512180,496720,692856,312610,336473,362178,481022,594303,682905,990218
   Czechia,564746,620286,723333,752058,779438,819776,1026108,272425,289839,324606,336590,335913,353286,436228,292321,330447,398727,415468,443525,466490,589880
   Hungary,391583,404141,420959,466530,511199,600887,714420,196559,201396,210583,228737,247593,292523,352495,195024,202745,210376,237793,263606,308364,361925
   Poland,1673426,1775774,2047626,2884657,3716338,4077038,4825096,762917,792359,882240,1308371,1733144,1884117,2298995,910509,983415,1165386,1576286,1983194,2192921,2526101
   Republic of Moldova*,625680,620030,602773,715496,827409,929759,1159443,290609,297868,299267,342253,383845,430866,554320,335071,322162,303506,373243,443564,498893,605123
   Romania,811853,976732,1138825,2105906,3363361,3420714,3987093,376790,459487,542472,986924,1580768,1567809,1874015,435063,517245,596353,1118982,1782593,1852905,2113078
   Russian Federation,12653331,11587959,10664764,10302948,10118680,10179999,10756697,5512948,4984699,4509883,4425027,4372877,4449268,4655021,7140383,6603260,6154881,5877921,5745803,5730731,6101676
   Slovakia,132977,191610,251533,271828,260656,347385,419651,65915,95196,125238,128519,119280,157103,195564,67062,96414,126295,143309,141376,190282,224087
   Ukraine*,5545517,5606133,5596518,5566382,5429876,5797550,6139144,2634670,2643218,2618744,2557255,2438200,2609505,2778617,2910847,2962915,2977774,3009127,2991676,3188045,3360527
  Northern Europe,6227251,6202247,6422540,6780094,7178780,7315147,7884780,2959183,2945625,3053954,3254617,3443327,3529209,3820591,3268068,3256622,3368586,3525477,3735453,3785938,4064189
   Channel Islands*,18726,15626,12825,14815,15699,16469,17158,8755,7477,6316,7167,7744,8292,8836,9971,8149,6509,7648,7955,8177,8322
   Denmark*,201514,207707,217761,224462,233531,236832,257025,91508,94661,100345,106327,111478,111890,122100,110006,113046,117416,118135,122053,124942,134925
   Estonia,113860,129586,141821,150101,153633,189109,206631,54294,60521,65057,67824,68652,84113,91437,59566,69065,76764,82277,84981,104996,115194
   Faroe Islands*,7518,10003,12410,12484,12364,13407,12927,2989,4113,5236,5200,5189,5736,5511,4529,5890,7174,7284,7175,7671,7416
