Year,"Region, development group, country or area",Both 0-4,Both 5-9,Both 10-14,Both  15-19,Both 20-24,Both 25-29,Both 30-34,Both 35-39,Both 40-44,Both 45-49,Both 50-54,Both 55-59,Both 60-64,Both 65-69,Both 70-74,Both 75+,Both Tot,Male 0-4,Male 5-9,Male 10-14,Male  15-19,Male 20-24,Male 25-29,Male 30-34,Male 35-39,Male 40-44,Male 45-49,Male 50-54,Male 55-59,Male 60-64,Male 65-69,Male 70-74,Male 75+,Male Total,Female 0-4,Female 5-9,Female 10-14,Female  15-19,Female 20-24,Female 25-29,Female 30-34,Female 35-39,Female 40-44,Female 45-49,Female 50-54,Female 55-59,Female 60-64,Female 65-69,Female 70-74,Female 75+,Female Total
1990,   Liechtenstein,801,797,768,759,945,1067,1043,976,932,872,633,359,271,281,151,251,10906,431,431,412,394,468,518,520,536,556,549,407,224,160,155,76,119,5956,370,366,356,365,477,549,523,440,376,323,226,135,111,126,75,132,4950
1995,   Liechtenstein,978,974,937,927,1154,1303,1282,1192,1137,1065,772,438,331,338,181,302,13311,509,518,493,469,545,596,609,635,668,666,490,274,194,183,86,133,7068,469,456,444,458,609,707,673,557,469,399,282,164,137,155,95,169,6243
2000,   Liechtenstein,619,642,773,738,778,918,1296,1570,1712,1674,1421,1191,955,492,265,439,15483,325,335,397,370,382,448,625,772,848,850,761,671,553,281,141,221,7980,294,307,376,368,396,470,671,798,864,824,660,520,402,211,124,218,7503
2005,   Liechtenstein,920,937,1033,1001,1127,1305,1613,1814,1912,1851,1517,1189,945,713,384,637,18898,458,466,505,475,517,590,734,862,939,942,809,654,539,407,208,329,9434,462,471,528,526,610,715,879,952,973,909,708,535,406,306,176,308,9464
2010,   Liechtenstein,830,784,795,896,1353,2008,2244,2409,2308,2059,1684,1424,1164,979,529,876,22342,432,397,378,468,679,1028,1135,1203,1104,995,791,691,582,467,233,284,10867,398,387,417,428,674,980,1109,1206,1204,1064,893,733,582,512,296,592,11475
2015,   Liechtenstein,1018,879,835,847,1017,1516,2130,2375,2540,2415,2135,1681,1341,1080,903,1087,23799,533,463,416,404,529,757,1092,1197,1262,1160,1040,786,633,524,426,383,11605,485,416,419,443,488,759,1038,1178,1278,1255,1095,895,708,556,477,704,12194
2020,   Liechtenstein,1775,964,934,866,960,1236,1825,2400,2476,2640,2451,2091,1561,1214,1026,1458,25877,943,502,480,422,484,619,874,1211,1231,1300,1155,1020,731,574,498,575,12619,832,462,454,444,476,617,951,1189,1245,1340,1296,1071,830,640,528,883,13258
1990,   Luxembourg,2936,3806,4205,5237,9135,12561,12998,12034,11963,8949,7564,5964,5219,3591,2757,4876,113795,1485,1919,2120,2620,4544,6248,6587,6220,6337,4730,3894,2953,2272,1570,1070,1493,56062,1451,1887,2085,2617,4591,6313,6411,5814,5626,4219,3670,3011,2947,2021,1687,3383,57733
1995,   Luxembourg,2676,4120,4959,5503,8829,13416,15234,14430,13087,10375,9206,6779,5571,3814,2929,5178,126106,1358,2086,2509,2752,4359,6602,7634,7388,6832,5445,4802,3431,2501,1725,1186,1682,62292,1318,2034,2450,2751,4470,6814,7600,7042,6255,4930,4404,3348,3070,2089,1743,3496,63814
2000,   Luxembourg,2449,4478,5765,5829,8627,14417,17619,16972,14351,11907,10940,7664,5984,4079,3132,5537,139750,1248,2281,2931,2918,4234,7029,8754,8618,7393,6213,5789,3968,2772,1910,1321,1907,69286,1201,2197,2834,2911,4393,7388,8865,8354,6958,5694,5151,3696,3212,2169,1811,3630,70464
2005,   Luxembourg,2420,4628,6281,6431,9188,15275,17689,17268,15791,13843,12546,8992,6647,4357,3346,5916,150618,1229,2372,3207,3230,4498,7452,8755,8727,8107,7210,6633,4727,3213,2069,1436,2086,74951,1191,2256,3074,3201,4690,7823,8934,8541,7684,6633,5913,4265,3434,2288,1910,3830,75667
2010,   Luxembourg,2416,4826,6866,7105,9850,16301,17933,17749,17407,15939,14295,10425,7386,4685,3598,6361,163142,1222,2486,3515,3576,4805,7950,8840,8919,8898,8278,7544,5558,3716,2253,1568,2292,81420,1194,2340,3351,3529,5045,8351,9093,8830,8509,7661,6751,4867,3670,2432,2030,4069,81722
2015,   Luxembourg,3384,6909,8028,8906,12298,21617,26445,28174,27865,26457,22363,16740,12860,10148,6575,10119,248888,1772,3620,4101,4464,6276,10856,13000,13992,14139,13887,11912,8879,6729,5236,3224,4042,126129,1612,3289,3927,4442,6022,10761,13445,14182,13726,12570,10451,7861,6131,4912,3351,6077,122759
2020,   Luxembourg,3839,7652,9213,10241,14590,25581,30931,32240,31987,30813,28112,22347,16150,12327,9165,12874,298062,1904,3940,4801,5216,7394,13061,15340,16087,16115,15869,15081,12002,8483,6290,4685,5385,151653,1935,3712,4412,5025,7196,12520,15591,16153,15872,14944,13031,10345,7667,6037,4480,7489,146409
1990,   Monaco,490,515,543,635,849,1164,1448,1591,1611,1560,1661,1548,1346,1481,1303,2614,20359,242,256,270,308,399,544,686,767,794,774,813,734,613,647,551,1073,9471,248,259,273,327,450,620,762,824,817,786,848,814,733,834,752,1541,10888
1995,   Monaco,503,544,556,604,753,1062,1425,1668,1732,1708,1729,1716,1549,1326,1424,2761,21060,247,272,282,302,363,501,676,807,853,861,863,843,724,595,613,1153,9955,256,272,274,302,390,561,749,861,879,847,866,873,825,731,811,1608,11105
2000,   Monaco,486,577,574,601,676,915,1327,1684,1840,1818,1791,1860,1766,1505,1453,2914,21787,238,288,295,309,338,441,634,819,914,917,898,919,858,699,649,1242,10458,248,289,279,292,338,474,693,865,926,901,893,941,908,806,804,1672,11329
2005,   Monaco,365,610,546,605,599,754,1080,1576,1797,1886,1754,1832,1894,1642,1370,3002,21312,177,300,277,316,305,372,511,762,882,950,886,914,928,793,625,1324,10322,188,310,269,289,294,382,569,814,915,936,868,918,966,849,745,1678,10990
2010,   Monaco,369,492,584,582,608,684,926,1342,1704,1861,1840,1813,1883,1787,1523,3134,21132,181,242,293,301,315,344,448,645,833,930,932,914,934,872,712,1429,10325,188,250,291,281,293,340,478,697,871,931,908,899,949,915,811,1705,10807
2015,   Monaco,362,606,543,601,599,922,1332,1640,1866,2604,2423,2226,2300,2261,1889,3809,25983,178,297,278,322,319,430,635,736,892,1308,1225,1150,1144,1104,923,1658,12599,184,309,265,279,280,492,697,904,974,1296,1198,1076,1156,1157,966,2151,13384
2020,   Monaco,250,529,669,713,1236,1362,1257,1354,1627,1864,2592,2392,2173,2217,2125,4241,26601,124,258,341,380,656,634,598,608,777,936,1309,1234,1080,1081,1037,1844,12897,126,271,328,333,580,728,659,746,850,928,1283,1158,1093,1136,1088,2397,13704
1990,   Netherlands*,21346,39107,53815,85023,116137,138857,134312,117471,109970,81889,74291,50483,41272,42744,31831,43715,1182263,9909,18116,24812,39310,55328,69271,70356,63127,59199,43654,38928,26225,21105,21353,13918,17732,592343,11437,20991,29003,45713,60809,69586,63956,54344,50771,38235,35363,24258,20167,21391,17913,25983,589920
1995,   Netherlands*,21559,41042,57733,83794,116427,153369,160922,146130,129251,101478,91238,63483,53383,46337,35431,44587,1346164,10212,19410,27107,38761,54368,73789,81061,75733,67915,53720,48111,33292,26895,22704,15806,19352,668236,11347,21632,30626,45033,62059,79580,79861,70397,61336,47758,43127,30191,26488,23633,19625,25235,677928
2000,   Netherlands*,22537,44420,63668,85567,120866,173197,192990,179698,152938,124477,111260,78608,67271,50170,37360,51310,1556337,10855,21294,30484,41969,60773,86929,94536,88077,78189,65921,57204,37948,30788,25190,18071,17074,765302,11682,23126,33184,43598,60093,86268,98454,91621,74749,58556,54056,40660,36483,24980,19289,34236,791035
2005,   Netherlands*,21804,39743,57225,79285,128182,179363,196578,201357,183026,158289,132536,102302,84627,63007,48175,60628,1736127,10347,18546,26450,38231,64169,89390,94420,93839,92507,84803,68323,47097,38311,29864,23343,23804,843444,11457,21197,30775,41054,64013,89973,102158,107518,90519,73486,64213,55205,46316,33143,24832,36824,892683
2010,   Netherlands*,19996,33081,47926,69068,129288,176805,190577,213352,204419,184650,147512,121198,97995,71057,52914,72672,1832510,10110,15920,24051,35154,61605,83584,89290,101488,102681,92213,70724,57252,48764,36624,26325,25479,881264,9886,17161,23875,33914,67683,93221,101287,111864,101738,92437,76788,63946,49231,34433,26589,47193,951246
2015,   Netherlands*,21659,40469,45760,66444,130996,182518,201773,200448,216873,202975,180826,142980,115469,90582,63948,92598,1996318,11278,20784,22286,33420,62323,87189,95956,93327,101706,100047,88572,67549,53787,44118,32063,37908,952313,10381,19685,23474,33024,68673,95329,105817,107121,115167,102928,92254,75431,61682,46464,31885,54690,1044005
2020,   Netherlands*,29365,56535,64567,83472,159863,212224,238408,232514,224593,232437,208852,176019,136856,108958,77909,115761,2358333,15236,29593,33005,41714,76807,104163,116682,111314,104420,110101,102928,85597,63620,50567,37582,51075,1134404,14129,26942,31562,41758,83056,108061,121726,121200,120173,122336,105924,90422,73236,58391,40327,64686,1223929
1990,   Switzerland,21097,36144,43658,55290,105964,157966,163138,143817,136287,127458,126600,94073,66118,48756,30067,35849,1392282,10909,18407,22555,28941,56607,86578,90722,77126,71249,66249,63236,45151,27732,19364,9951,6333,701110,10188,17737,21103,26349,49357,71388,72416,66691,65038,61209,63364,48922,38386,29392,20116,29516,691172
1995,   Switzerland,63248,71656,70692,75519,111166,154962,170609,157991,135215,115713,107959,82531,62705,42035,25922,30906,1478829,32544,36742,36547,39606,58210,80712,90134,85904,74327,63017,57812,43724,31331,19559,10539,8335,769043,30704,34914,34145,35913,52956,74250,80475,72087,60888,52696,50147,38807,31374,22476,15383,22571,709786
2000,   Switzerland,105631,107429,97985,96024,116774,152522,178701,172741,134619,104389,89711,71291,59522,35468,21872,26077,1570756,54388,55312,50773,50521,60181,75356,90110,95207,77850,60168,52745,42571,35136,19891,11211,10435,841855,51243,52117,47212,45503,56593,77166,88591,77534,56769,44221,36966,28720,24386,15577,10661,15642,728901
2005,   Switzerland,61807,72305,73849,79835,116155,167176,198323,191606,174827,160871,134902,104318,83739,61120,52325,72279,1805437,32823,38107,39000,42342,59414,83343,99402,99219,91338,84958,72588,56102,43940,30536,23735,25540,922387,28984,34198,34849,37493,56741,83833,98921,92387,83489,75913,62314,48216,39799,30584,28590,46739,883050
2010,   Switzerland,19184,38586,51148,65198,117792,185078,221798,214193,218416,220479,182713,139372,109584,87961,83795,119885,2075182,9768,19627,26280,33466,58228,91010,108482,103467,105864,111165,93608,70536,53404,41813,36987,41676,1005381,9416,18959,24868,31732,59564,94068,113316,110726,112552,109314,89105,68836,56180,46148,46808,78209,1069801
2015,   Switzerland,20641,44066,54652,68310,111016,192780,245430,245098,230165,234254,212997,160087,116135,91317,84581,146667,2258196,10506,22446,27950,35144,55115,95164,121763,120562,112969,117150,109268,82669,56765,43248,38636,54061,1103416,10135,21620,26702,33166,55901,97616,123667,124536,117196,117104,103729,77418,59370,48069,45945,92606,1154780
2020,   Switzerland,19589,47458,62057,75396,111473,188656,259453,279803,262587,244316,241236,201518,140343,99008,82701,175655,2491249,9982,24020,31809,39736,58411,93757,128964,138984,129218,119740,121185,103162,70959,45949,38049,68277,1222202,9607,23438,30248,35660,53062,94899,130489,140819,133369,124576,120051,98356,69384,53059,44652,107378,1269047
1990, LATIN AMERICA AND THE CARIBBEAN,320974,395219,422440,451445,495575,535273,550859,552152,559282,484649,430041,399127,396578,377101,275419,489837,7135971,166979,202742,213178,222007,240074,259724,272218,278011,286233,252266,227153,210678,204199,192267,135669,218819,3582217,153995,192477,209262,229438,255501,275549,278641,274141,273049,232383,202888,188449,192379,184834,139750,271018,3553754
1995, LATIN AMERICA AND THE CARIBBEAN,260698,311982,364030,414705,505943,544248,549480,528199,508286,481328,425631,368385,341289,327313,293062,436974,6661553,135133,160482,183539,205032,247365,266028,270940,264329,259568,248342,221663,192861,176160,167053,143278,193456,3335229,125565,151500,180491,209673,258578,278220,278540,263870,248718,232986,203968,175524,165129,160260,149784,243518,3326324
2000, LATIN AMERICA AND THE CARIBBEAN,294397,349716,324750,360146,471125,528842,541329,519466,478759,455670,448028,375444,328001,296160,286021,481884,6539738,152496,179219,165304,180201,231926,259719,268657,258568,239976,230812,228890,194578,171082,152572,141846,210383,3266229,141901,170497,159446,179945,239199,269123,272672,260898,238783,224858,219138,180866,156919,143588,144175,271501,3273509
2005, LATIN AMERICA AND THE CARIBBEAN,225245,363867,403733,436710,580632,665215,655692,609777,547296,491154,440532,401027,345844,296068,261777,459544,7184113,116227,185790,204723,216215,281152,322399,325089,304188,273056,247757,224960,205740,177449,152477,131104,204172,3572498,109018,178077,199010,220495,299480,342816,330603,305589,274240,243397,215572,195287,168395,143591,130673,255372,3611615
2010, LATIN AMERICA AND THE CARIBBEAN,493534,545322,470486,498951,644735,736066,725158,690181,623268,555756,487198,422598,398222,317145,244969,472999,8326588,252872,278621,237688,247205,320937,365577,359831,343514,309683,277501,243470,211999,198871,161290,123078,207294,4139431,240662,266701,232798,251746,323798,370489,365327,346667,313585,278255,243728,210599,199351,155855,121891,265705,4187157
2015, LATIN AMERICA AND THE CARIBBEAN,423540,565166,571970,574297,831704,996339,934983,814950,717001,620993,532499,447834,384772,335427,262194,427834,9441503,217127,288320,288306,288984,422828,502186,471721,411705,361402,312389,265228,224529,193127,169505,131414,189878,4738649,206413,276846,283664,285313,408876,494153,463262,403245,355599,308604,267271,223305,191645,165922,130780,237956,4702854
2020, LATIN AMERICA AND THE CARIBBEAN,917986,1115877,1021689,931351,1313481,1701606,1632429,1345673,1068699,883978,722936,581436,436601,348770,283647,488464,14794623,466776,567577,517539,463968,650671,863374,844024,694859,549494,451503,362019,290638,215745,175077,141303,218854,7473421,451210,548300,504150,467383,662810,838232,788405,650814,519205,432475,360917,290798,220856,173693,142344,269610,7321202
1990,  Caribbean,79826,84352,89602,98680,102793,102141,97737,79939,60864,46520,38338,34095,31573,25901,23340,35382,1031083,45150,46391,48114,52224,53229,51387,48274,39901,30937,23990,19769,17403,16397,14097,12708,19001,538972,34676,37961,41488,46456,49564,50754,49463,40038,29927,22530,18569,16692,15176,11804,10632,16381,492111
1995,  Caribbean,66397,76325,80031,92766,115049,123319,117923,96756,79250,63522,51061,37962,32131,27646,24198,37227,1121563,36989,41740,42747,49350,60330,63312,58875,48220,39997,32109,25973,19421,16608,14654,12660,19132,582117,29408,34585,37284,43416,54719,60007,59048,48536,39253,31413,25088,18541,15523,12992,11538,18095,539446
2000,  Caribbean,60272,66753,75292,91017,118125,130922,133914,116939,95118,81323,64874,48297,38829,28527,24897,41773,1216872,33229,36063,39941,48496,62594,68040,67828,58396,47201,40630,32578,24583,19888,14867,12820,20529,627683,27043,30690,35351,42521,55531,62882,66086,58543,47917,40693,32296,23714,18941,13660,12077,21244,589189
2005,  Caribbean,53708,58829,66730,87397,124692,141780,144534,128895,108755,91357,75998,50490,41472,33119,26923,41052,1275731,28452,30711,34098,45421,64995,73529,74444,65970,54881,45718,38561,25673,21693,17418,13986,20522,656072,25256,28118,32632,41976,59697,68251,70090,62925,53874,45639,37437,24817,19779,15701,12937,20530,619659
2010,  Caribbean,46902,58788,67256,85466,135701,156005,147032,130725,113670,99196,84637,61558,50916,34262,25023,41756,1338893,24085,29938,33509,43959,72950,83560,76733,66220,56518,48529,41753,30251,26218,17903,12912,19522,684560,22817,28850,33747,41507,62751,72445,70299,64505,57152,50667,42884,31307,24698,16359,12111,22234,654333
2015,  Caribbean,44106,52559,59816,96923,170183,196349,170809,145451,126706,106961,91454,72343,58983,38716,28129,41593,1501081,22679,26698,29188,53336,99672,112229,95468,76587,65803,53312,44194,35583,30231,19442,14626,19819,798867,21427,25861,30628,43587,70511,84120,75341,68864,60903,53649,47260,36760,28752,19274,13503,21774,702214
2020,  Caribbean,52394,57514,66406,80893,134983,202224,215223,176511,143149,121963,96634,77893,61587,43103,30245,44426,1605148,26186,28541,32034,42342,74558,113795,123821,96233,76795,62957,47083,38555,31121,21603,15491,21359,852474,26208,28973,34372,38551,60425,88429,91402,80278,66354,59006,49551,39338,30466,21500,14754,23067,752674
1990,   Anguilla*,251,208,190,205,256,283,291,251,185,121,86,76,72,40,35,20,2570,120,99,91,100,128,142,139,123,96,66,46,38,34,15,13,8,1258,131,109,99,105,128,141,152,128,89,55,40,38,38,25,22,12,1312
1995,   Anguilla*,282,249,222,235,306,358,385,354,278,193,133,106,93,52,45,26,3317,131,115,103,112,150,175,175,169,140,103,70,52,43,19,17,10,1584,151,134,119,123,156,183,210,185,138,90,63,54,50,33,28,16,1733
2000,   Anguilla*,313,290,254,265,355,432,481,456,370,265,180,136,114,48,56,48,4063,143,132,116,124,171,207,221,213,183,138,91,64,50,18,21,18,1910,170,158,138,141,184,225,260,243,187,127,89,72,64,30,35,30,2153
2005,   Anguilla*,355,315,274,291,389,477,542,530,446,335,237,177,142,64,55,55,4684,163,145,126,137,187,229,244,249,222,174,121,84,63,24,21,21,2210,192,170,148,154,202,248,298,281,224,161,116,93,79,40,34,34,2474
2010,   Anguilla*,382,329,284,306,409,505,582,581,500,386,278,208,163,60,70,60,5103,176,152,131,145,197,243,262,273,248,201,141,99,72,24,27,24,2415,206,177,153,161,212,262,320,308,252,185,137,109,91,36,43,36,2688
2015,   Anguilla*,384,375,327,318,391,488,536,566,554,477,358,251,184,138,46,78,5471,177,172,150,150,190,236,242,267,276,248,181,119,82,54,19,31,2594,207,203,177,168,201,252,294,299,278,229,177,132,102,84,27,47,2877
2020,   Anguilla*,376,380,366,354,396,462,521,509,529,529,435,318,217,151,105,67,5715,173,171,168,167,192,224,233,240,264,280,221,151,96,59,41,26,2706,203,209,198,187,204,238,288,269,265,249,214,167,121,92,64,41,3009
1990,   Antigua and Barbuda,1235,764,556,830,1276,1608,1418,1183,825,488,432,361,395,250,161,247,12029,576,355,260,396,625,785,668,566,416,257,221,173,182,117,75,103,5775,659,409,296,434,651,823,750,617,409,231,211,188,213,133,86,144,6254
1995,   Antigua and Barbuda,1507,1120,910,1169,1535,2126,2317,1863,1535,1003,602,504,412,413,262,272,17550,668,495,403,531,717,991,1043,848,738,506,294,229,179,183,115,106,8046,839,625,507,638,818,1135,1274,1015,797,497,308,275,233,230,147,166,9504
2000,   Antigua and Barbuda,1825,1130,1517,1826,2083,2506,2991,2765,2135,1262,825,690,568,360,232,356,23071,789,486,652,808,950,1140,1315,1227,1002,623,393,304,240,154,99,134,10316,1036,644,865,1018,1133,1366,1676,1538,1133,639,432,386,328,206,133,222,12755
2005,   Antigua and Barbuda,1290,1210,1168,1794,2341,2571,2781,3061,2688,2067,1176,796,616,501,323,358,24741,605,568,546,854,1054,1142,1181,1303,1179,942,537,356,273,225,144,143,11052,685,642,622,940,1287,1429,1600,1758,1509,1125,639,440,343,276,179,215,13689
2010,   Antigua and Barbuda,835,1090,1476,1925,2216,2617,2666,2877,2925,2639,1895,1136,792,503,324,496,26412,424,555,748,982,993,1145,1103,1187,1209,1120,833,516,370,239,153,211,11788,411,535,728,943,1223,1472,1563,1690,1716,1519,1062,620,422,264,171,285,14624
2015,   Antigua and Barbuda,232,914,1175,1733,2456,2733,3026,3046,2911,2761,2483,1842,1080,718,433,539,28082,120,467,599,888,1108,1204,1264,1259,1212,1179,1098,841,508,341,205,231,12524,112,447,576,845,1348,1529,1762,1787,1699,1582,1385,1001,572,377,228,308,15558
2020,   Antigua and Barbuda,242,325,1005,1448,2290,2998,2992,3245,3072,2749,2600,2406,1749,986,625,654,29386,125,168,514,745,1037,1326,1255,1356,1285,1180,1155,1104,823,470,296,281,13120,117,157,491,703,1253,1672,1737,1889,1787,1569,1445,1302,926,516,329,373,16266
1990,   Aruba*,631,827,863,748,960,1388,1491,1493,1206,858,762,692,677,523,514,811,14444,327,421,428,356,440,616,640,621,496,352,316,299,299,237,246,335,6429,304,406,435,392,520,772,851,872,710,506,446,393,378,286,268,476,8015
1995,   Aruba*,731,1256,1302,1281,1640,2458,2848,2405,2099,1629,1044,853,728,683,476,841,22274,365,637,638,625,783,1106,1265,1044,875,663,437,368,311,300,222,335,9974,366,619,664,656,857,1352,1583,1361,1224,966,607,485,417,383,254,506,12300
2000,   Aruba*,544,1407,1855,1841,2088,3029,3959,4004,3115,2325,1625,1029,853,687,676,1067,30104,260,708,894,915,1033,1375,1823,1801,1310,933,684,438,349,289,303,404,13519,284,699,961,926,1055,1654,2136,2203,1805,1392,941,591,504,398,373,663,16585
2005,   Aruba*,682,789,1552,2022,2376,2899,3717,4154,4066,3147,2251,1520,938,779,574,1074,32540,361,407,747,1023,1187,1302,1637,1871,1750,1335,941,632,386,324,245,411,14559,321,382,805,999,1189,1597,2080,2283,2316,1812,1310,888,552,455,329,663,17981
2010,   Aruba*,353,826,1223,1933,1982,2150,3101,3967,4490,4212,3207,2362,1537,921,729,1335,34328,207,437,590,998,1004,961,1309,1796,1986,1890,1338,960,639,380,297,520,15312,146,389,633,935,978,1189,1792,2171,2504,2322,1869,1402,898,541,432,815,19016
2015,   Aruba*,692,553,876,1416,2002,2266,2922,3689,4280,4557,4182,3059,2178,1392,763,1287,36114,405,295,426,735,1020,1019,1244,1682,1905,2057,1758,1253,912,578,313,506,16108,287,258,450,681,982,1247,1678,2007,2375,2500,2424,1806,1266,814,450,781,20006
2020,   Aruba*,3135,3276,2814,2641,2775,3363,3900,4135,4728,5211,5242,4561,3025,2107,1258,1422,53593,1513,1563,1323,1299,1353,1531,1726,1930,2171,2424,2274,1935,1284,887,522,572,24307,1622,1713,1491,1342,1422,1832,2174,2205,2557,2787,2968,2626,1741,1220,736,850,29286
1990,   Bahamas,944,540,626,1189,2002,2785,3334,3488,3078,1914,1786,1430,1242,1043,565,889,26855,452,259,302,605,1056,1464,1703,1757,1558,1003,986,810,662,535,218,457,13827,492,281,324,584,946,1321,1631,1731,1520,911,800,620,580,508,347,432,13028
1995,   Bahamas,957,1019,797,925,1716,3471,4433,4101,3598,3031,1810,1622,1268,1103,846,957,31654,472,499,394,481,926,1865,2318,2115,1863,1623,1019,935,689,579,338,504,16620,485,520,403,444,790,1606,2115,1986,1735,1408,791,687,579,524,508,453,15034
2000,   Bahamas,918,1095,1286,1106,1501,3349,5256,5189,4136,3478,2830,1618,1431,1127,899,1235,36454,459,546,646,584,821,1823,2792,2715,2173,1887,1612,944,788,599,367,658,19414,459,549,640,522,680,1526,2464,2474,1963,1591,1218,674,643,528,532,577,17040
2005,   Bahamas,1058,1333,1620,1799,1997,3887,6056,6646,5573,4252,3411,2669,1477,1319,937,1497,45531,554,671,791,920,1019,1922,3124,3418,2903,2271,1851,1480,773,686,436,794,23613,504,662,829,879,978,1965,2932,3228,2670,1981,1560,1189,704,633,501,703,21918
2010,   Bahamas,2087,2286,2478,2118,2302,4232,6474,6858,5844,5177,4304,3317,2539,1886,1329,1514,54745,1152,1174,1187,1057,1100,1900,3270,3505,3048,2747,2238,1759,1272,966,701,807,27883,935,1112,1291,1061,1202,2332,3204,3353,2796,2430,2066,1558,1267,920,628,707,26862
2015,   Bahamas,1565,1994,2471,2801,2835,4564,6634,7243,6522,5383,4669,3817,2914,2253,1558,2018,59241,859,1018,1176,1389,1345,2032,3333,3679,3382,2840,2414,2013,1450,1147,816,1070,29963,706,976,1295,1412,1490,2532,3301,3564,3140,2543,2255,1804,1464,1106,742,948,29278
2020,   Bahamas,1503,1610,2263,2811,3567,5332,7199,7429,6780,5928,4779,4097,3338,2575,1862,2510,63583,827,824,1078,1396,1695,2377,3619,3777,3520,3131,2474,2162,1663,1312,976,1330,32161,676,786,1185,1415,1872,2955,3580,3652,3260,2797,2305,1935,1675,1263,886,1180,31422
1990,   Barbados,666,1085,1615,2045,2412,2617,2705,2129,2035,1481,1114,882,827,579,463,1369,24024,349,519,797,1003,1072,1072,1053,832,829,595,416,364,291,204,163,506,10065,317,566,818,1042,1340,1545,1652,1297,1206,886,698,518,536,375,300,863,13959
1995,   Barbados,777,817,1201,1808,2770,3245,3117,2841,2201,1948,1372,1035,821,752,501,1018,26224,413,406,588,891,1263,1381,1279,1175,922,798,538,431,307,278,188,377,11235,364,411,613,917,1507,1864,1838,1666,1279,1150,834,604,514,474,313,641,14989
2000,   Barbados,969,1296,1617,1797,2069,2480,2785,2652,2620,2289,1921,1488,1292,950,701,1498,28424,519,664,780,884,961,1087,1191,1147,1120,949,782,622,508,366,275,550,12405,450,632,837,913,1108,1393,1594,1505,1500,1340,1139,866,784,584,426,948,16019
2005,   Barbados,392,1156,1446,2041,2529,2720,2935,3049,2749,2682,2264,1911,1410,1187,840,1313,30624,212,607,694,1009,1212,1236,1310,1364,1197,1126,942,804,570,468,338,486,13575,180,549,752,1032,1317,1484,1625,1685,1552,1556,1322,1107,840,719,502,827,17049
2010,   Barbados,1255,1507,1647,1609,1800,2402,2895,3163,3186,3047,2671,2053,1729,1297,925,1639,32825,678,806,780,795,882,1122,1346,1451,1402,1284,1125,864,711,518,379,603,14746,577,701,867,814,918,1280,1549,1712,1784,1763,1546,1189,1018,779,546,1036,18079
2015,   Barbados,673,1186,1545,2055,2451,2639,2820,3004,3201,3225,2980,2553,1919,1556,1096,1572,34475,366,638,736,1021,1206,1239,1310,1386,1417,1368,1263,1081,795,626,453,583,15488,307,548,809,1034,1245,1400,1510,1618,1784,1857,1717,1472,1124,930,643,989,18987
2020,   Barbados,619,561,1176,1887,2778,3142,2903,2798,2937,3162,3086,2800,2355,1706,1303,1656,34869,338,305,563,942,1376,1489,1357,1298,1309,1345,1317,1194,982,692,542,619,15668,281,256,613,945,1402,1653,1546,1500,1628,1817,1769,1606,1373,1014,761,1037,19201
1990,"   Bonaire, Sint Eustatius and Saba*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"   Bonaire, Sint Eustatius and Saba*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,"   Bonaire, Sint Eustatius and Saba*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,"   Bonaire, Sint Eustatius and Saba*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"   Bonaire, Sint Eustatius and Saba*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"   Bonaire, Sint Eustatius and Saba*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"   Bonaire, Sint Eustatius and Saba*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,   British Virgin Islands*,409,405,444,430,840,1250,1239,958,753,440,288,190,155,70,47,117,8035,209,205,221,209,410,628,627,501,406,237,155,102,86,39,26,65,4126,200,200,223,221,430,622,612,457,347,203,133,88,69,31,21,52,3909
1995,   British Virgin Islands*,365,511,498,569,806,1281,1558,1380,1059,770,436,287,194,156,74,102,10046,181,250,240,267,380,625,767,701,555,404,229,150,105,84,40,56,5034,184,261,258,302,426,656,791,679,504,366,207,137,89,72,34,46,5012
