Year,"Region, development group, country or area",Both 0-4,Both 5-9,Both 10-14,Both  15-19,Both 20-24,Both 25-29,Both 30-34,Both 35-39,Both 40-44,Both 45-49,Both 50-54,Both 55-59,Both 60-64,Both 65-69,Both 70-74,Both 75+,Both Tot,Male 0-4,Male 5-9,Male 10-14,Male  15-19,Male 20-24,Male 25-29,Male 30-34,Male 35-39,Male 40-44,Male 45-49,Male 50-54,Male 55-59,Male 60-64,Male 65-69,Male 70-74,Male 75+,Male Total,Female 0-4,Female 5-9,Female 10-14,Female  15-19,Female 20-24,Female 25-29,Female 30-34,Female 35-39,Female 40-44,Female 45-49,Female 50-54,Female 55-59,Female 60-64,Female 65-69,Female 70-74,Female 75+,Female Total
1995,   Faroe Islands*,105,216,229,292,240,284,327,249,208,234,200,96,66,43,45,66,2900,53,118,120,153,140,157,177,139,121,138,123,40,36,20,18,22,1575,52,98,109,139,100,127,150,110,87,96,77,56,30,23,27,44,1325
2000,   Faroe Islands*,337,346,266,229,238,309,355,356,247,218,231,191,91,62,39,78,3593,179,172,145,114,130,176,195,188,135,127,134,114,38,33,15,26,1921,158,174,121,115,108,133,160,168,112,91,97,77,53,29,24,52,1672
2005,   Faroe Islands*,302,670,437,289,235,287,407,432,400,276,231,229,175,86,56,71,4583,155,356,221,162,125,147,225,232,215,155,130,136,101,35,30,25,2450,147,314,216,127,110,140,182,200,185,121,101,93,74,51,26,46,2133
2010,   Faroe Islands*,301,504,714,414,288,275,366,416,426,400,267,206,212,148,72,87,5096,167,256,376,215,175,132,189,230,222,208,146,117,122,85,26,34,2700,134,248,338,199,113,143,177,186,204,192,121,89,90,63,46,53,2396
2015,   Faroe Islands*,268,523,543,698,340,295,305,380,430,398,392,274,198,185,135,121,5485,121,288,263,357,181,155,132,178,225,203,195,150,114,105,77,39,2783,147,235,280,341,159,140,173,202,205,195,197,124,84,80,58,82,2702
2020,   Faroe Islands*,419,621,611,610,601,421,462,431,516,504,433,388,254,186,174,181,6812,203,316,323,299,347,227,239,200,276,280,231,183,136,102,102,78,3542,216,305,288,311,254,194,223,231,240,224,202,205,118,84,72,103,3270
1990,   Finland*,2605,5978,7726,7083,6403,5748,5260,4136,3157,2783,1937,1541,1427,2048,1822,3601,63255,1323,3039,3934,3601,3328,3050,2854,2351,1867,1609,1033,748,577,841,644,883,31682,1282,2939,3792,3482,3075,2698,2406,1785,1290,1174,904,793,850,1207,1178,2718,31573
1995,   Finland*,2585,5908,9219,9711,10322,11337,11367,9264,7191,5520,3836,2699,2443,2282,2031,4014,99729,1271,2907,4544,4779,5200,5838,5991,5133,4155,3115,1987,1265,940,892,675,883,49575,1314,3001,4675,4932,5122,5499,5376,4131,3036,2405,1849,1434,1503,1390,1356,3131,50154
2000,   Finland*,2564,5838,10712,12338,14240,16925,17473,14391,11224,8257,5735,3856,3459,2519,2242,4430,136203,1301,2916,5530,6361,6925,8494,8971,7485,5536,4095,3075,2063,1610,1080,837,1190,67469,1263,2922,5182,5977,7315,8431,8502,6906,5688,4162,2660,1793,1849,1439,1405,3240,68734
2005,   Finland*,3536,7502,10480,13237,19155,25390,25354,22395,17944,14014,10215,7075,5010,3184,2816,4862,192169,1810,3780,5454,6879,9398,12848,13111,11739,8927,7010,5518,3814,2355,1382,1067,1337,96429,1726,3722,5026,6358,9757,12542,12243,10656,9017,7004,4697,3261,2655,1802,1749,3525,95740
2010,   Finland*,4147,8400,9177,12784,22111,31259,30627,28110,22830,18338,13652,9571,6050,3525,3102,4798,228481,2126,4169,4658,6571,11391,16334,15835,14464,11702,9116,6448,4521,3127,1779,1340,1524,115105,2021,4231,4519,6213,10720,14925,14792,13646,11128,9222,7204,5050,2923,1746,1762,3274,113376
2015,   Finland*,4887,11570,13466,14031,23276,40476,45407,39250,33994,26592,20975,15165,10232,6074,3366,6095,314856,2495,5965,6674,7185,11880,20806,24105,20620,17389,13472,10131,6971,4715,3108,1657,2142,159315,2392,5605,6792,6846,11396,19670,21302,18630,16605,13120,10844,8194,5517,2966,1709,3953,155541
